TR_S04_PTO_STO(100)_750c_200mT_1000sh_3hz_XRR_04072026	
2θ, °	Intensity, cps
2.53600001335144	150.201354980469
2.53999996185303	153.63688659668
2.54399991035461	124.847541809082
2.54800009727478	123.142372131348
2.55200004577637	156.451766967773
2.55599999427795	139.30632019043
2.55999994277954	148.958633422852
2.56399989128113	150.986740112305
2.56800007820129	140.818389892578
2.57200002670288	116.94059753418
2.57599997520447	125.200439453125
2.57999992370605	115.096611022949
2.58400011062622	113.847373962402
2.58800005912781	135.846328735352
2.59200000762939	148.464981079102
2.59599995613098	158.588821411133
2.59999990463257	109.071182250977
2.60400009155273	116.587738037109
2.60800004005432	134.858642578125
2.61199998855591	121.920265197754
2.6159999370575	139.146026611328
2.61999988555908	111.839347839355
2.62400007247925	86.9883575439453
2.62800002098083	120.736297607422
2.63199996948242	113.820991516113
2.63599991798401	92.2194137573242
2.64000010490417	127.31778717041
2.64400005340576	115.97093963623
2.64800000190735	125.07007598877
2.65199995040894	125.321884155273
2.65599989891052	138.969146728516
2.66000008583069	143.274917602539
2.66400003433228	91.8428192138672
2.66799998283386	101.107360839844
2.67199993133545	112.024444580078
2.67600011825562	96.5048980712891
2.6800000667572	105.169387817383
2.68400001525879	102.98706817627
2.68799996376038	108.327461242676
2.69199991226196	98.9851684570313
2.69600009918213	118.753623962402
2.70000004768372	82.062385559082
2.7039999961853	100.247337341309
2.70799994468689	113.15771484375
2.71199989318848	106.637237548828
2.71600008010864	98.5567474365234
2.72000002861023	103.783096313477
2.72399997711182	95.5422286987305
2.7279999256134	110.725898742676
2.73200011253357	110.155906677246
2.73600006103516	81.8283920288086
2.74000000953674	97.0086059570313
2.74399995803833	105.596038818359
2.74799990653992	90.2176055908203
2.75200009346008	105.522766113281
2.75600004196167	110.055465698242
2.75999999046326	103.671279907227
2.76399993896484	110.16284942627
2.76799988746643	80.1956939697266
2.7720000743866	89.2350997924805
2.77600002288818	90.6290893554688
2.77999997138977	80.0328216552734
2.78399991989136	77.2144317626953
2.78800010681152	113.472724914551
2.79200005531311	73.4999237060547
2.7960000038147	91.6057357788086
2.79999995231628	95.9266052246094
2.80399990081787	98.9345245361328
2.80800008773804	93.9493103027344
2.81200003623962	85.2585525512695
2.81599998474121	88.6477813720703
2.8199999332428	71.5666275024414
2.82399988174438	69.8515548706055
2.82800006866455	105.081207275391
2.83200001716614	85.5706176757813
2.83599996566772	88.2432403564453
2.83999991416931	85.7643661499023
2.84400010108948	95.9944000244141
2.84800004959106	73.1834716796875
2.85199999809265	87.2569198608398
2.85599994659424	61.9513244628906
2.85999989509583	86.9279327392578
2.86400008201599	55.028247833252
2.86800003051758	75.0402984619141
2.87199997901917	71.5568389892578
2.87599992752075	75.0982971191406
2.88000011444092	78.100227355957
2.8840000629425	91.7054214477539
2.88800001144409	86.9144897460938
2.89199995994568	83.2405090332031
2.89599990844727	74.9918518066406
2.90000009536743	58.1157417297363
2.90400004386902	60.6008529663086
2.90799999237061	52.1694221496582
2.91199994087219	78.5318145751953
2.91599988937378	74.7838973999023
2.92000007629395	85.2952728271484
2.92400002479553	64.845947265625
2.92799997329712	61.7013816833496
2.93199992179871	69.8900833129883
2.93600010871887	60.5025672912598
2.94000005722046	53.5561943054199
2.94400000572205	60.5778694152832
2.94799995422363	74.938606262207
2.95199990272522	67.0184478759766
2.95600008964539	48.6950759887695
2.96000003814697	60.2646827697754
2.96399998664856	60.7926559448242
2.96799993515015	68.0450744628906
2.97199988365173	51.9680023193359
2.9760000705719	78.3071746826172
2.98000001907349	48.0797843933105
2.98399996757507	71.6487731933594
2.98799991607666	71.544921875
2.99200010299683	56.5931434631348
2.99600005149841	48.5725708007813
3	78.7011947631836
3.00399994850159	62.160099029541
3.00799989700317	56.519401550293
3.01200008392334	55.5102462768555
3.01600003242493	73.5225601196289
3.01999998092651	58.6296768188477
3.0239999294281	63.2941627502441
3.02800011634827	48.6557235717773
3.03200006484985	58.6143608093262
3.03600001335144	48.3482933044434
3.03999996185303	36.8649215698242
3.04399991035461	48.3638610839844
3.04800009727478	55.2599067687988
3.05200004577637	43.1061363220215
3.05599999427795	45.1496658325195
3.05999994277954	44.7153625488281
3.06399989128113	63.1372451782227
3.06800007820129	75.4671783447266
3.07200002670288	38.4047203063965
3.07599997520447	60.5765533447266
3.07999992370605	48.2691650390625
3.08400011062622	48.4067230224609
3.08800005912781	58.496150970459
3.09200000762939	45.6024017333984
3.09599995613098	60.5288314819336
3.09999990463257	48.2425994873047
3.10400009155273	48.6568756103516
3.10800004005432	39.1016883850098
