TR_S05_PTO_STO(100)_600c_200mT_1000sh_2hz_film RC_04092026	
2θ, °	Intensity, cps
20.8199996948242	13.6661672592163
20.8250007629395	0
20.8299999237061	28.0762233734131
20.8349990844727	0
20.8400001525879	0
20.8449993133545	0
20.8500003814697	14.6526432037354
20.8549995422363	28.3638706207275
20.8600006103516	0
20.8649997711182	0
20.8700008392334	0
20.875	0
20.8799991607666	0
20.8850002288818	0
20.8899993896484	14.9247121810913
20.8950004577637	0
20.8999996185303	14.056770324707
20.9050006866455	13.9910488128662
20.9099998474121	0
20.9150009155273	0
20.9200000762939	0
20.9249992370605	0
20.9300003051758	0
20.9349994659424	0
20.9400005340576	0
20.9449996948242	0
20.9500007629395	13.7010736465454
20.9549999237061	13.6193780899048
20.9599990844727	14.0072793960571
20.9650001525879	14.2049007415771
20.9699993133545	13.6996698379517
20.9750003814697	0
20.9799995422363	14.0039567947388
20.9850006103516	0
20.9899997711182	4.45272254943848
20.9950008392334	14.6822900772095
21	4.68971586227417
21.0049991607666	13.8651065826416
21.0100002288818	0
21.0149993896484	13.9561338424683
21.0200004577637	0
21.0249996185303	0
21.0300006866455	0
21.0349998474121	0
21.0400009155273	14.4701452255249
21.0450000762939	0
21.0499992370605	13.8457536697388
21.0550003051758	14.7260551452637
21.0599994659424	13.8303928375244
21.0650005340576	14.0884351730347
21.0699996948242	27.3916969299316
21.0750007629395	14.0940885543823
21.0799999237061	14.1140651702881
21.0849990844727	13.954119682312
21.0900001525879	13.5955495834351
21.0949993133545	27.7158107757568
21.1000003814697	27.549596786499
21.1049995422363	14.2522506713867
21.1100006103516	27.9338550567627
21.1149997711182	41.3460273742676
21.1200008392334	13.2258148193359
21.125	0
21.1299991607666	0
21.1350002288818	27.1883487701416
21.1399993896484	0
21.1450004577637	0
21.1499996185303	28.4119892120361
21.1550006866455	13.2575540542603
21.1599998474121	0
21.1650009155273	27.3351287841797
21.1700000762939	28.748722076416
21.1749992370605	0
21.1800003051758	0
21.1849994659424	0
21.1900005340576	0
21.1949996948242	13.9444856643677
21.2000007629395	0
21.2049999237061	14.1562700271606
21.2099990844727	0
21.2150001525879	27.8161869049072
21.2199993133545	0
21.2250003814697	0
21.2299995422363	0
21.2350006103516	27.9706039428711
21.2399997711182	0
21.2450008392334	0
21.25	13.7234716415405
21.2549991607666	42.2052192687988
21.2600002288818	14.1466379165649
21.2649993896484	0
21.2700004577637	13.6730461120605
21.2749996185303	0
21.2800006866455	18.4231948852539
21.2849998474121	0
21.2900009155273	14.3493747711182
21.2950000762939	28.5141658782959
21.2999992370605	0
21.3050003051758	13.5803203582764
21.3099994659424	0
21.3150005340576	0
21.3199996948242	0
21.3250007629395	0
21.3299999237061	15.1924924850464
21.3349990844727	27.2949600219727
21.3400001525879	14.2817878723145
21.3449993133545	14.2997627258301
21.3500003814697	4.45718860626221
21.3549995422363	13.7966079711914
21.3600006103516	4.48699712753296
21.3649997711182	0
21.3700008392334	4.71675109863281
21.375	17.9115467071533
21.3799991607666	14.0024089813232
21.3850002288818	0
21.3899993896484	0
21.3950004577637	14.1745948791504
21.3999996185303	0
21.4050006866455	13.6558218002319
21.4099998474121	0
21.4150009155273	13.6269979476929
21.4200000762939	13.6177082061768
21.4249992370605	0
21.4300003051758	14.7380237579346
21.4349994659424	0
21.4400005340576	13.540735244751
21.4449996948242	0
21.4500007629395	13.6972045898438
21.4549999237061	28.3941650390625
21.4599990844727	0
21.4650001525879	19.0720882415771
21.4699993133545	0
21.4750003814697	14.1040420532227
21.4799995422363	13.9487152099609
21.4850006103516	13.4571046829224
21.4899997711182	13.6341094970703
21.4950008392334	13.6130428314209
21.5	27.601375579834
21.5049991607666	13.6179733276367
21.5100002288818	28.3627700805664
21.5149993896484	14.2817878723145
21.5200004577637	41.1275939941406
21.5249996185303	0
21.5300006866455	27.8759670257568
21.5349998474121	13.9138488769531
21.5400009155273	13.8326358795166
21.5450000762939	13.7294578552246
21.5499992370605	0
21.5550003051758	0
21.5599994659424	0
21.5650005340576	27.8703689575195
21.5699996948242	0
21.5750007629395	19.1655616760254
21.5799999237061	4.55120944976807
21.5849990844727	13.4773874282837
21.5900001525879	0
21.5949993133545	0
21.6000003814697	0
21.6049995422363	0
21.6100006103516	27.7602996826172
21.6149997711182	4.69047927856445
21.6200008392334	43.2912101745605
21.625	13.6765079498291
21.6299991607666	0
21.6350002288818	0
21.6399993896484	14.1928405761719
21.6450004577637	13.6993980407715
21.6499996185303	28.0666885375977
21.6550006866455	13.8319396972656
21.6599998474121	42.6267013549805
21.6650009155273	0
21.6700000762939	0
21.6749992370605	41.4225692749023
21.6800003051758	0
21.6849994659424	55.0380210876465
21.6900005340576	4.47465372085571
21.6949996948242	36.5921745300293
21.7000007629395	27.7896690368652
21.7049999237061	0
21.7099990844727	31.7112407684326
21.7150001525879	14.0024089813232
21.7199993133545	27.5591373443604
21.7250003814697	18.1554584503174
21.7299995422363	18.187068939209
21.7350006103516	27.9505577087402
21.7399997711182	14.4488306045532
21.7450008392334	28.1175479888916
21.75	14.1120700836182
21.7549991607666	0
21.7600002288818	28.3874759674072
21.7649993896484	14.4407529830933
21.7700004577637	13.7012176513672
21.7749996185303	27.4462947845459
21.7800006866455	13.9672803878784
21.7849998474121	28.3661212921143
21.7900009155273	27.5233364105225
21.7950000762939	18.0028190612793
21.7999992370605	0
21.8050003051758	13.3753061294556
21.8099994659424	18.7236289978027
21.8150005340576	55.5366973876953
21.8199996948242	26.9810676574707
21.8250007629395	47.0465278625488
21.8299999237061	27.5667190551758
21.8349990844727	0
21.8400001525879	27.6723575592041
21.8449993133545	32.5150146484375
21.8500003814697	14.7870349884033
21.8549995422363	4.51823139190674
21.8600006103516	13.906569480896
21.8649997711182	0
21.8700008392334	41.0353775024414
21.875	0
21.8799991607666	32.9327964782715
21.8850002288818	13.8788108825684
21.8899993896484	28.8513317108154
21.8950004577637	42.8203659057617
21.8999996185303	13.58118724823
21.9050006866455	40.8462677001953
21.9099998474121	17.9015350341797
21.9150009155273	27.4393043518066
21.9200000762939	31.8879280090332
21.9249992370605	27.5234470367432
21.9300003051758	13.5484962463379
21.9349994659424	61.2280960083008
21.9400005340576	41.4759941101074
21.9449996948242	54.6206588745117
21.9500007629395	27.8606567382813
21.9549999237061	14.1551856994629
21.9599990844727	37.2288093566895
21.9650001525879	13.8029928207397
21.9699993133545	64.4025039672852
21.9750003814697	88.0507507324219
21.9799995422363	118.58423614502
21.9850006103516	89.1417236328125
21.9899997711182	41.6785202026367
