TR_S07_PTO_STO(100)_600c_variable pressure_2000sh_3hz_2theta omega_04102026{1}	
2θ, °	Intensity, cps
19.0991992950439	13.8753223419189
19.1040000915527	0
19.1088008880615	0
19.1135997772217	0
19.1184005737305	0
19.1231994628906	29.2017765045166
19.1280002593994	0
19.1327991485596	0
19.1375999450684	18.9931945800781
19.1424007415771	14.846453666687
19.1471996307373	15.0944128036499
19.1520004272461	19.3304920196533
19.1567993164063	0
19.161600112915	0
19.1664009094238	0
19.171199798584	44.2882766723633
19.1760005950928	14.7071514129639
19.1807994842529	0
19.1856002807617	15.1321668624878
19.1903991699219	14.2718505859375
19.1951999664307	0
19.2000007629395	0
19.2047996520996	0
19.2096004486084	14.7118167877197
19.2143993377686	14.3754386901855
19.2192001342773	14.285514831543
19.2240009307861	33.9606056213379
19.2287998199463	29.7285690307617
19.2336006164551	0
19.2383995056152	0
19.243200302124	14.1910266876221
19.2479991912842	29.1425018310547
19.252799987793	0
19.2576007843018	14.454571723938
19.2623996734619	0
19.2672004699707	0
19.2719993591309	0
19.2768001556396	0
19.2816009521484	43.4749908447266
19.2863998413086	0
19.2912006378174	14.5967054367065
19.2959995269775	15.1759233474731
19.3008003234863	0
19.3055992126465	0
19.3104000091553	0
19.3152008056641	14.3421106338501
19.3199996948242	29.8231506347656
19.324800491333	0
19.3295993804932	28.8166046142578
19.334400177002	0
19.3391990661621	14.8204069137573
19.3439998626709	0
19.3488006591797	0
19.3535995483398	0
19.3584003448486	14.6722316741943
19.3631992340088	0
19.3680000305176	0
19.3728008270264	14.0452432632446
19.3775997161865	0
19.3824005126953	0
19.3871994018555	0
19.3920001983643	14.1072177886963
19.3967990875244	0
19.4015998840332	28.8500156402588
19.406400680542	42.7106781005859
19.4111995697021	29.397331237793
19.4160003662109	14.4430532455444
19.4207992553711	14.3643751144409
19.4256000518799	0
19.4304008483887	0
19.4351997375488	42.8079948425293
19.4400005340576	14.3514804840088
19.4447994232178	0
19.4496002197266	0
19.4543991088867	14.6683988571167
19.4591999053955	0
19.4640007019043	14.0824537277222
19.4687995910645	14.61598777771
19.4736003875732	14.4637489318848
19.4783992767334	28.6645984649658
19.4832000732422	14.4343156814575
19.488000869751	14.1683301925659
19.4927997589111	14.5451612472534
19.4976005554199	14.9912548065186
19.5023994445801	14.622200012207
19.5072002410889	0
19.511999130249	34.1985778808594
19.5167999267578	28.9593181610107
19.5216007232666	15.0484838485718
19.5263996124268	13.6353282928467
19.5312004089355	14.7060356140137
19.5359992980957	0
19.5408000946045	28.5783176422119
19.5456008911133	0
19.5503997802734	0
19.5552005767822	14.5348262786865
19.5599994659424	0
19.5648002624512	0
19.5695991516113	14.6041479110718
19.5743999481201	14.9582777023315
19.5792007446289	14.541072845459
19.5839996337891	43.4692153930664
19.5888004302979	14.6521234512329
19.593599319458	14.6145687103271
19.5984001159668	18.9497756958008
19.6032009124756	0
19.6079998016357	43.4628677368164
19.6128005981445	58.5473785400391
19.6175994873047	28.9541683197021
19.6224002838135	0
19.6271991729736	0
19.6319999694824	15.2629013061523
19.6368007659912	14.8835029602051
19.6415996551514	14.5304288864136
19.6464004516602	14.6512575149536
19.6511993408203	28.9698505401611
19.6560001373291	0
19.6608009338379	29.4527473449707
19.665599822998	13.9011430740356
19.6704006195068	0
19.675199508667	28.1904735565186
19.6800003051758	14.2160291671753
19.6847991943359	0
19.6895999908447	14.7643556594849
19.6944007873535	44.1346435546875
19.6991996765137	0
19.7040004730225	14.2667045593262
19.7087993621826	28.8786716461182
19.7136001586914	15.0619449615479
19.7183990478516	0
19.7231998443604	14.541072845459
19.7280006408691	42.9263954162598
19.7327995300293	42.7591247558594
19.7376003265381	0
19.7423992156982	0
19.747200012207	14.8847103118896
19.7520008087158	29.5024108886719
19.756799697876	0
19.7616004943848	0
19.7663993835449	0
19.7712001800537	0
19.7759990692139	14.9534578323364
19.7807998657227	57.7350807189941
19.7856006622314	72.2482299804688
19.7903995513916	28.5185966491699
19.7952003479004	29.0082569122314
19.7999992370605	14.3957986831665
19.8048000335693	14.5873508453369
19.8096008300781	13.9813623428345
19.8143997192383	14.935079574585
19.8192005157471	29.5417041778564
19.8239994049072	19.3219890594482
19.828800201416	14.1314582824707
19.8335990905762	29.4078750610352
19.838399887085	28.9183979034424
19.8432006835938	14.7623052597046
19.8479995727539	15.0619449615479
19.8528003692627	14.4498128890991
19.8575992584229	14.641960144043
19.8624000549316	14.4999160766602
19.8672008514404	29.4367008209229
19.8719997406006	0
19.8768005371094	0
19.8815994262695	0
19.8864002227783	14.5839157104492
19.8911991119385	43.6951179504395
19.8959999084473	0
19.9008007049561	15.3022260665894
19.9055995941162	15.0820150375366
19.910400390625	14.3013114929199
19.9151992797852	0
19.9200000762939	14.9961977005005
19.9248008728027	0
19.9295997619629	29.3871040344238
19.9344005584717	14.7060356140137
19.9391994476318	14.6054878234863
19.9440002441406	43.1432456970215
19.9487991333008	14.162407875061
19.9535999298096	48.6100463867188
19.9584007263184	33.1316986083984
19.9631996154785	0
19.9680004119873	0
19.9727993011475	0
19.9776000976563	29.8638343811035
19.982400894165	0
19.9871997833252	0
19.992000579834	14.6173458099365
19.9967994689941	0
20.0016002655029	14.9273643493652
20.0063991546631	42.9591407775879
20.0111999511719	29.5912990570068
20.0160007476807	0
20.0207996368408	14.8557357788086
20.0256004333496	14.6227512359619
20.0303993225098	0
20.0352001190186	18.8327484130859
20.0400009155273	28.8958721160889
20.0447998046875	15.0050458908081
20.0496006011963	29.7181510925293
20.0543994903564	0
20.0592002868652	0
20.0639991760254	15.5801544189453
20.0687999725342	30.0181407928467
20.073600769043	14.9277601242065
20.0783996582031	28.9544239044189
20.0832004547119	0
20.0879993438721	14.7742414474487
20.0928001403809	28.9956092834473
20.0976009368896	14.8161401748657
20.1023998260498	30.7205848693848
20.1072006225586	14.0452432632446
20.1119995117188	14.7789621353149
20.1168003082275	14.8062801361084
20.1215991973877	0
20.1263999938965	29.7471790313721
20.1312007904053	28.9047794342041
20.1359996795654	14.1732912063599
20.1408004760742	14.9174280166626
20.1455993652344	0
20.1504001617432	43.0239410400391
20.1551990509033	14.0023164749146
20.1599998474121	0
20.1648006439209	14.7428216934204
20.1695995330811	0
20.1744003295898	14.4294347763062
20.17919921875	44.736442565918
