TR_S06_PTO_LAO(100)_600c_200mT_1000sh_2hz_XRR_04082026	
2θ, °	Intensity, cps
1.29999995231628	308.392608642578
1.30400002002716	240.608093261719
1.30799996852875	294.622344970703
1.31200003623962	205.388549804688
1.31599998474121	205.300140380859
1.32000005245209	220.053512573242
1.32400000095367	193.163604736328
1.32799994945526	217.059921264648
1.33200001716614	237.077072143555
1.33599996566772	223.706954956055
1.3400000333786	238.419372558594
1.34399998188019	208.36279296875
1.34800004959106	225.899795532227
1.35199999809265	220.635482788086
1.35599994659424	208.059906005859
1.36000001430511	212.223083496094
1.3639999628067	206.808258056641
1.36800003051758	149.551177978516
1.37199997901917	177.137115478516
1.37600004673004	191.508773803711
1.37999999523163	195.12092590332
1.38399994373322	169.695358276367
1.38800001144409	202.295715332031
1.39199995994568	195.830474853516
1.39600002765656	175.830001831055
1.39999997615814	116.755935668945
1.40400004386902	192.823791503906
1.40799999237061	172.692840576172
1.41199994087219	189.049011230469
1.41600000858307	152.486618041992
1.41999995708466	166.679565429688
1.42400002479553	140.635879516602
1.42799997329712	122.707214355469
1.432000041008	141.819412231445
1.43599998950958	129.449111938477
1.44000005722046	141.670959472656
1.44400000572205	129.302169799805
1.44799995422363	119.594764709473
1.45200002193451	110.50724029541
1.4559999704361	109.541976928711
1.46000003814697	100.994697570801
1.46399998664856	122.931335449219
1.46800005435944	138.977401733398
1.47200000286102	98.2493362426758
1.47599995136261	122.749877929688
1.48000001907349	135.786422729492
1.48399996757507	94.7062835693359
1.48800003528595	122.625114440918
1.49199998378754	126.216827392578
1.49600005149841	123.609970092773
1.5	94.5039443969727
1.50399994850159	98.0710220336914
1.50800001621246	132.743194580078
1.51199996471405	104.188385009766
1.51600003242493	78.3564987182617
1.51999998092651	101.297225952148
1.52400004863739	129.713592529297
1.52799999713898	59.5462799072266
1.53199994564056	82.7607421875
1.53600001335144	88.588737487793
1.53999996185303	94.8279647827148
1.5440000295639	88.9322738647461
1.54799997806549	69.4848098754883
1.55200004577637	103.323348999023
1.55599999427795	66.3004379272461
1.55999994277954	66.8729629516602
1.56400001049042	69.1473236083984
1.567999958992	79.8798446655273
1.57200002670288	97.958854675293
1.57599997520447	87.7799606323242
1.58000004291534	90.9543304443359
1.58399999141693	56.877857208252
1.58800005912781	94.8833618164063
1.59200000762939	63.3692321777344
1.59599995613098	53.810173034668
1.60000002384186	62.2143440246582
1.60399997234344	66.2804336547852
1.60800004005432	66.3525314331055
1.61199998855591	72.5011596679688
1.61600005626678	66.4902114868164
1.62000000476837	47.3908882141113
1.62399995326996	37.7828521728516
1.62800002098083	60.1262855529785
1.63199996948242	56.5042610168457
1.6360000371933	56.3217697143555
