TR_S10_PTO_STO(100)_500c_150mT_20000sh_5hz_2theta omega_04162026{1}	
2θ, °	Intensity, cps
17.8943996429443	0
17.8992004394531	14.4092636108398
17.9039993286133	0
17.9088001251221	0
17.9136009216309	14.0798320770264
17.918399810791	19.2955341339111
17.9232006072998	0
17.92799949646	4.75391674041748
17.9328002929688	14.8402786254883
17.9375991821289	0
17.9423999786377	4.82211923599243
17.9472007751465	0
17.9519996643066	14.7846689224243
17.9568004608154	28.957218170166
17.9615993499756	15.4417705535889
17.9664001464844	0
17.9712009429932	0
17.9759998321533	0
17.9808006286621	14.7130517959595
17.9855995178223	15.2961359024048
17.9904003143311	0
17.9951992034912	0
18	14.2667045593262
18.0048007965088	30.215425491333
18.0095996856689	4.84038209915161
18.0144004821777	14.935079574585
18.0191993713379	0
18.0240001678467	4.84928226470947
18.0287990570068	0
18.0335998535156	14.1393241882324
18.0384006500244	0
18.0431995391846	0
18.0480003356934	0
18.0527992248535	14.9961977005005
18.0576000213623	0
18.0624008178711	4.70030069351196
18.0671997070313	0
18.07200050354	14.5996026992798
18.0767993927002	0
18.081600189209	0
18.0863990783691	14.9828939437866
18.0911998748779	29.4312705993652
18.0960006713867	14.2221784591675
18.1007995605469	0
18.1056003570557	0
18.1103992462158	0
18.1152000427246	14.1314582824707
18.1200008392334	14.9413843154907
18.1247997283936	4.81045007705688
18.1296005249023	0
18.1343994140625	29.1558895111084
18.1392002105713	0
18.1439990997314	15.2597713470459
18.1487998962402	19.437047958374
18.153600692749	14.8108100891113
18.1583995819092	0
18.163200378418	15.0611200332642
18.1679992675781	0
18.1728000640869	19.0773315429688
18.1776008605957	0
18.1823997497559	0
18.1872005462646	19.1257095336914
18.1919994354248	15.2386837005615
18.1968002319336	0
18.2015991210938	0
18.2063999176025	14.1912927627563
18.2112007141113	13.7599792480469
18.2159996032715	4.87522506713867
18.2208003997803	0
18.2255992889404	14.3782663345337
18.2304000854492	29.8502140045166
18.235200881958	0
18.2399997711182	0
18.244800567627	0
18.2495994567871	14.1868047714233
18.2544002532959	0
18.2591991424561	0
18.2639999389648	0
18.2688007354736	0
18.2735996246338	0
18.2784004211426	0
18.2831993103027	0
18.2880001068115	28.3686847686768
18.2928009033203	14.3013114929199
18.2975997924805	0
18.3024005889893	0
18.3071994781494	0
18.3120002746582	0
18.3167991638184	0
18.3215999603271	0
18.3264007568359	14.7970943450928
18.3311996459961	14.3643751144409
18.3360004425049	14.2297496795654
18.340799331665	14.7847585678101
18.3456001281738	0
18.3504009246826	0
18.3551998138428	0
18.3600006103516	4.65759325027466
18.3647994995117	0
18.3696002960205	0
18.3743991851807	0
18.3791999816895	0
18.3840007781982	4.68355274200439
18.3887996673584	13.9256582260132
18.3936004638672	0
18.3983993530273	14.4092636108398
18.4032001495361	0
18.4080009460449	0
18.4127998352051	14.6248788833618
18.4176006317139	0
18.422399520874	14.4643621444702
18.4272003173828	0
18.431999206543	0
18.4368000030518	0
18.4416007995605	0
18.4463996887207	0
18.4512004852295	0
18.4559993743896	0
18.4608001708984	0
18.4655990600586	4.74819755554199
18.4703998565674	0
18.4752006530762	0
18.4799995422363	0
18.4848003387451	14.1134490966797
18.4895992279053	0
18.4944000244141	30.0013256072998
18.4992008209229	0
18.503999710083	43.1881103515625
18.5088005065918	0
18.513599395752	14.7054262161255
18.5184001922607	0
18.5231990814209	0
18.5279998779297	0
18.5328006744385	0
18.5375995635986	14.7538280487061
18.5424003601074	15.0385332107544
18.5471992492676	14.6469030380249
18.5520000457764	0
18.5568008422852	0
18.5615997314453	14.3626098632813
18.5664005279541	0
18.5711994171143	0
18.576000213623	29.551887512207
18.5807991027832	0
18.585599899292	0
18.5904006958008	0
18.5951995849609	15.0987567901611
18.6000003814697	0
18.6047992706299	0
18.6096000671387	0
18.6144008636475	9.43314552307129
18.6191997528076	0
18.6240005493164	0
18.6287994384766	14.4252128601074
18.6336002349854	0
18.6383991241455	14.1995134353638
18.6431999206543	0
18.6480007171631	0
18.6527996063232	0
18.657600402832	14.7789621353149
18.6623992919922	0
18.667200088501	0
18.6720008850098	0
18.6767997741699	15.1208047866821
18.6816005706787	33.2963485717773
18.6863994598389	15.5513935089111
18.6912002563477	0
18.6959991455078	0
18.7007999420166	0
18.7056007385254	14.4876823425293
18.7103996276855	0
18.7152004241943	14.0525035858154
18.7199993133545	14.6231966018677
18.7248001098633	15.1585836410522
18.7296009063721	0
18.7343997955322	0
18.739200592041	0
18.7439994812012	29.7386608123779
18.74880027771	0
18.7535991668701	0
18.7583999633789	14.8124542236328
18.7632007598877	14.4430532455444
18.7679996490479	0
